TourId iBest gBest time(ms)
2084 4617.5202165987 3767.8558174232 1367
2085 4575.9710756534 3767.8558174232 1367
2086 4633.3406884102 3767.8558174232 1364
2087 4619.0629646302 3767.8558174232 1371
2088 4459.6745957044 3767.8558174232 1375
2089 4612.2148606156 3767.8558174232 1382
2090 4619.3894863295 3767.8558174232 1370
2091 4739.0228227974 3767.8558174232 1366
2092 4573.5327155732 3767.8558174232 1373
2093 4710.5396990115 3767.8558174232 1374
2094 4686.3613319304 3767.8558174232 1374
2095 4594.1019016787 3767.8558174232 1380
2096 4678.6314309906 3767.8558174232 1379
2097 4473.9602997638 3767.8558174232 1363
2098 4526.3668045980 3767.8558174232 1369
2099 3794.8317359837 3767.8558174232 13329
2100 4549.5464499631 3767.8558174232 1352
2101 4585.4101478318 3767.8558174232 1337
2102 4782.0530881685 3767.8558174232 1344
2103 4563.9976984003 3767.8558174232 1355
2104 4728.9113899155 3767.8558174232 1361
2105 4631.7387085763 3767.8558174232 1363
2106 4758.7682270380 3767.8558174232 1357
2107 4671.4070927753 3767.8558174232 1361
2108 4624.6590930900 3767.8558174232 1351
2109 4725.3315228443 3767.8558174232 1380
2110 4549.2283681382 3767.8558174232 1373
2111 4662.2471839277 3767.8558174232 1394
2112 4611.3552857493 3767.8558174232 1398
2113 4675.4711394546 3767.8558174232 1397
2114 4586.3675966973 3767.8558174232 1430
2115 4574.2351716147 3767.8558174232 1399
2116 4650.6965061039 3767.8558174232 1385
2117 4583.9479863793 3767.8558174232 1393
2118 4720.9906662972 3767.8558174232 1389
2119 4728.3117244243 3767.8558174232 1370
2120 4630.5501148328 3767.8558174232 1364
2121 4646.5906494708 3767.8558174232 1363
2122 4442.0891357756 3767.8558174232 1368
2123 4621.4856749518 3767.8558174232 1381
2124 4488.0968446705 3767.8558174232 1370
2125 4570.0627106366 3767.8558174232 1357
2126 4634.7254344589 3767.8558174232 1362
2127 4608.8707650828 3767.8558174232 1367
2128 4854.4999705231 3767.8558174232 1360
2129 4692.9486297532 3767.8558174232 1347
2130 4625.8639677880 3767.8558174232 1341
2131 4678.9719121987 3767.8558174232 1354
2132 4695.7453876597 3767.8558174232 1355
2133 4711.0327496674 3767.8558174232 1355
2134 4463.3155270832 3767.8558174232 1348
2135 4512.7401097926 3767.8558174232 1354
2136 4608.6133067184 3767.8558174232 1347
2137 4455.3710832897 3767.8558174232 1356
2138 4685.7578646655 3767.8558174232 1353
2139 4596.8395123525 3767.8558174232 1357
2140 4590.9592770823 3767.8558174232 1354
2141 4541.3963104750 3767.8558174232 1347
2142 4438.0638686791 3767.8558174232 1354
2143 4732.1004825219 3767.8558174232 1343
2144 4529.5561761908 3767.8558174232 1351
2145 4622.0776774071 3767.8558174232 1347
2146 4530.5485897315 3767.8558174232 1357
2147 4734.1962770069 3767.8558174232 1353
2148 4681.0084155577 3767.8558174232 1354
2149 4597.6460620468 3767.8558174232 1355
2150 4508.8484890536 3767.8558174232 1346
2151 4688.0321755620 3767.8558174232 1349
2152 4779.4177817145 3767.8558174232 1359
2153 4684.9976105613 3767.8558174232 1351
2154 4613.0553112036 3767.8558174232 1352
2155 4703.1498415408 3767.8558174232 1364
2156 4537.5933138722 3767.8558174232 1346
2157 4756.5137632086 3767.8558174232 1346
2158 4729.6132792624 3767.8558174232 1351
2159 4578.1139845349 3767.8558174232 1370
2160 4512.7425661505 3767.8558174232 1351
2161 4691.8648515498 3767.8558174232 1347
2162 4598.0920745652 3767.8558174232 1352
2163 4638.6281815035 3767.8558174232 1345
2164 4612.2421384374 3767.8558174232 1354
2165 4588.1516568618 3767.8558174232 1343
2166 4742.8538652932 3767.8558174232 1349
2167 4585.8188739411 3767.8558174232 1350
2168 4562.1170499948 3767.8558174232 1355
2169 4601.8809984185 3767.8558174232 1351
2170 4522.8946372707 3767.8558174232 1350
2171 4696.1658100519 3767.8558174232 1352
2172 4614.3013959930 3767.8558174232 1355
2173 4459.6049645336 3767.8558174232 1352
2174 4747.0905438424 3767.8558174232 1346
2175 4670.6632416874 3767.8558174232 1353
2176 4662.4492316686 3767.8558174232 1347
2177 4467.8351946559 3767.8558174232 1353
2178 4664.9480922103 3767.8558174232 1347
2179 4774.6944882354 3767.8558174232 1353
2180 4651.8281935857 3767.8558174232 1360
